MAS SECTION LED DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,RG,,,,,,HG,,,,,,HHG,,,,,,DG,,,,,,SHUNT,,,,,,ROUTE,,,,,,AMARKER,,,,,,CALLINGON,,,,,,,,,,,,,,,,,,,,
SNO,SECTION,STATION/AUTOSECTION/LC/IBS,ROUTE,"SIGNALNO/
SHUNTNO",HOME/STARTER/LSS/CO/IND SH/SUB SH/AUTO/GATE/IB/REP,LHS/RHS,SMMS Asset Created,"Asset Approved by
In Charge SSE",,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,,2Aspect,3Aspect,4Aspect,Shunt,Ind,OnPost,CO,Route,Home,Starter,IB,Gatesig,Auto,Retro Reflective Signal No.
37,MAS,MAS,A,SH48,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
38,MAS,MAS,A,SH47,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,6/19/2015,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
39,MAS,MAS,A,SH46,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,8/9/2019,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
40,MAS,MAS,A,MAS15,LSS,LHS,TRUE,TRUE,,CLS,INTEGRATED,4479,9/1/2021,3/1/2022,1,PTC,INTEGRATED,1500,10/21/2022,3/1/2022,1,RTV,INTEGRATED,3671,1/1/2017,1/25/2022,1,RTV,NON INTEGRATED,,,8/15/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,TRUE,,,,TRUE,TRUE,,,,,,15
41,MAS,MAS,A,SH65,IND SH,RHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
42,MAS,MAS,A,70A,HOME,LHS,TRUE,TRUE,,URBAN,INTEGRATED,52108,12/21/2007,1/5/2023,1,INSTAPOWER,INTEGRATED,Y2206,12/21/2007,6/1/2022,1,,,,,,,,,,,,,,,,,,,TILAK,INTEGRATED,,1/1/2023,2/25/2024,9,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,70A
43,MAS,MAS,A,70B,CO,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,7387,12/21/2007,2/1/2018,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,70B
44,MAS,MAS,A,69A,HOME,RHS,TRUE,TRUE,,TILAK,INTEGRATED,4981,5/1/2019,5/20/2024,1,GAEC,INTEGRATED,39857,7/1/2019,5/11/2020,1,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,8/15/2016,9,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,69A
45,MAS,MAS,A,69B,CO,RHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,11378,3/14/1998,9/1/2019,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,69B
46,MAS,MAS,A,SH66,IND SH,RHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
